AXP, American Express Co,    165.84,   162.99,   1879038,	165.84,	134.12,	199.55,	9.75,	17.01
AMGN, Amgen Inc,	248.39,	248.35,	2393740,	248.39,	198.64,	258.45,	11.8,	21.04
AAPL, Apple Inc,	172.1,	168.49,	65228492,	182.51,	129.04,	182.94,	6.05,	28.45
BA, Boeing Co,	169.99,	167.88,	4205884,	N/A,	113.02,	233.94,	-8.96,	-18.97
CAT, Caterpillar Inc,	196.84,	194,	1782936,	214.64,	167.08,	237.9,	12.43,	15.84
CSCO, Cisco Systems Inc,	46.61,	45.9,	16506365,	53.42,	40.82,	64.28,	2.85,	16.35
CVX, Chevron Corp,	159.85,	159.62,	7043854,	178.32,	92.86,	182.4,	14.97,	10.68
GS, Goldman Sachs Group Inc,	353.82,	351.68,	2320894,	394.07,	277.84,	426.16,	44.22,	8
HD, Home Depot Inc,	314.89,	310.69,	2144408, 351.19, 264.51,	420.61,	15.75,	19.99
HON, Honeywell International Inc,	200.87,	198.51,	2150606,	204.82,	167.35,	233.8,	7.33,	27.39
IBM, International Business Machines Corp,	134.01,	132.54,	2685392,	142.82,	114.56,	144.73,	6.42,	20.87
INTC, Intel Corp,	36.11,	35.59,	35246211,	42.16,	34.4,	56.28,	4.66,	7.74
JNJ, Johnson & Johnson,	165.3,	167.14,	13205039,	187.84,	155.72,	186.69,	6.88,	24.03
KO, Coca-Cola Co,	63.7,	63.22,	9281909,	69.11,	52.28,	67.2,	2.2,	28.96
JPM, JPMorgan Chase & Co,	122.13,	120.14,	9588307,	138.77,	106.06,	172.96,	12.46,	9.8
MCD, McDonald’s Corp,	262.18,	259.28,	1461160,	279.87,	217.68,	271.15,	8.12,	32.31
MMM, 3M Co,	152.24,	149.66,	2279170,	147.08,	125.6,	202.77,	7.15,	21.29
MRK, Merck & Co Inc,	91.02,	88.93,	7945994,	100.68,	70.89,	95.72,	6.56,	13.88
MSFT, Microsoft Corp,	291.91,	287.02,	18475718,	336.06,	241.51,	349.67,	9.64,	30.27
NKE, Nike Inc,	116.07,	114.1,	4172009,	137.33,	99.53,	179.1,	3.76,	30.91
PG,  Procter & Gamble Co,	146.67,	145.26,	4823649,	156.38,	129.5,	165.35,	5.8,	25.28
TRV, Travelers Companies Inc,	171.56,	168.81,	821338,	175.12,	145.4,	187.98,	14.42,	11.9
UNH, UnitedHealth Group Inc,	543.7,	532.86,	1764952,	574.71,	383.12,	553.29,	19.14,	28.4
CRM, Salesforce Inc,	189.89,	186.73,	3488597,	244.57,	154.55,	311.75,	1.03,	184.32
VZ, Verizon Communications Inc,	45.15,	44.78,	14764320,	53.05,	43.77,	56.2,	4.98,	9.07
V, Visa Inc,	211.33,	211.08,	6258011,	261.41,	185.91,	236.96,	6.51,	32.44
WBA, Walgreens Boots Alliance Inc,	40.59,	40.07,	4279157,	41.83,	36.57,	55,	5.89,	6.89
WMT, Walmart Inc, 132.22,	129.82,	8598868,	142.42,	117.27,	160.77,	4.65,	28.41
DIS, Walt Disney Co,	121.57,	117.69,	20530383,	N/A,	90.23,	187.58,	1.75,	69.6
DOW,  Dow Inc, 55.93,	55.26,	4308110,	59.91,	48.27,	71.86,	8.93,	6.27
